airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,non_codeshare_route_presence_count,all_listed_route_presence_count,route_presence_uplift,non_codeshare_airport_coverage,all_listed_airport_coverage,airport_coverage_uplift,non_codeshare_country_coverage,all_listed_country_coverage,country_coverage_uplift,non_codeshare_top1_origin_share,all_listed_top1_origin_share,top1_origin_share_difference,non_codeshare_origin_airport_hhi,all_listed_origin_airport_hhi,origin_hhi_difference,non_codeshare_effective_hubs,all_listed_effective_hubs,effective_hubs_difference
id:4454,4454,SJ,Sriwijaya Air,Indonesia,Y,True,True,True,True,106,106,0,38,38,0,2,2,0,0.19811320754717,0.19811320754717,0,0.077251690993236,0.077251690993236,0,12.9447004608295,12.9447004608295,0
id:4429,4429,SP,SATA Air Acores,Portugal,Y,True,False,False,False,28,28,0,9,9,0,1,1,0,0.214285714285714,0.214285714285714,0,0.150510204081633,0.150510204081633,0,6.64406779661017,6.64406779661017,0
id:2547,2547,ST,Germania,Germany,Y,True,True,False,True,96,96,0,41,41,0,15,15,0,0.114583333333333,0.114583333333333,0,0.0457899305555556,0.0457899305555556,0,21.8388625592417,21.8388625592417,0
id:153,153,SW,Air Namibia,Namibia,Y,True,False,False,False,35,35,0,17,17,0,8,8,0,0.314285714285714,0.314285714285714,0,0.133061224489796,0.133061224489796,0,7.51533742331288,7.51533742331288,0
id:18543,18543,SX,SkyWork Airlines ,Switzerland,Y,True,False,False,False,24,24,0,13,13,0,7,7,0,0.5,0.5,0,0.270833333333333,0.270833333333333,0,3.69230769230769,3.69230769230769,0
id:4356,4356,SY,Sun Country Airlines,United States,Y,True,False,False,False,38,38,0,18,18,0,3,3,0,0.447368421052632,0.447368421052632,0,0.220221606648199,0.220221606648199,0,4.54088050314465,4.54088050314465,0
id:10122,10122,SZ,Salzburg arrows,Austria,Y,True,False,False,False,48,48,0,20,20,0,7,7,0,0.270833333333333,0.270833333333333,0,0.141493055555556,0.141493055555556,0,7.06748466257669,7.06748466257669,0
id:5083,5083,T5,Turkmenistan Airlines,Turkmenistan,Y,False,False,False,False,16,16,0,9,9,0,7,7,0,0.5,0.5,0,0.28125,0.28125,0,3.55555555555556,3.55555555555556,0
id:4965,4965,T7,Twin Jet,France,Y,True,False,False,False,22,22,0,13,13,0,3,3,0,0.181818181818182,0.181818181818182,0,0.0950413223140496,0.0950413223140496,0,10.5217391304348,10.5217391304348,0
id:4897,4897,TCX,Thomas Cook Airlines,United Kingdom,Y,True,True,True,True,125,125,0,28,28,0,12,12,0,0.128,0.128,0,0.059968,0.059968,0,16.675560298826,16.675560298826,0
id:2418,2418,TE,FlyLal,Lithuania,Y,False,False,False,False,11,11,0,6,6,0,1,1,0,0.272727272727273,0.272727272727273,0,0.206611570247934,0.206611570247934,0,4.84,4.84,0
id:18529,18529,TJ,T.J. Air,United States,Y,False,False,False,False,14,14,0,9,9,0,7,7,0,0.214285714285714,0.214285714285714,0,0.142857142857143,0.142857142857143,0,7,7,0
