airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,mean_route_distance_km,median_route_distance_km,p90_route_distance_km,valid_distance_route_presences,invalid_or_missing_distance_route_presences,domestic_route_presence_share,international_route_presence_share,distinct_country_count,origin_country_count,destination_country_count
id:324,324,NH,All Nippon Airways,Japan,Y,True,True,True,True,2378.3187562558,1083.44814433978,7597.58465101312,297,0,0.609427609427609,0.390572390572391,17,17,17
id:345,345,NZ,Air New Zealand,New Zealand,Y,True,True,False,True,3550.31937179089,2406.63390509965,9170.1515831922,80,0,0.2125,0.7875,17,17,14
id:4089,4089,QF,Qantas,Australia,Y,True,True,True,True,3798.48773803737,2652.28887417715,8122.34935178229,175,0,0.582857142857143,0.417142857142857,17,17,17
id:5347,5347,VS,Virgin Atlantic Airways,United Kingdom,Y,True,True,False,True,6878.77908697807,6804.65406892031,9241.4359628641,71,0,0,1,17,17,16
id:1359,1359,BG,Biman Bangladesh Airlines,Bangladesh,Y,True,False,False,False,3107.81945173368,3080.23958145731,6361.17955431343,46,0,0.0869565217391304,0.91304347826087,16,16,16
id:3661,3661,HG,Niki,Austria,Y,True,True,True,True,1645.4293620614,1457.75110028338,3296.10319153385,111,0,0.027027027027027,0.972972972972973,16,16,16
id:197,197,J2,Azerbaijan Airlines,Azerbaijan,Y,True,True,False,True,2117.47733955913,1885.37971275984,3803.28163214105,50,0,0.04,0.96,16,16,16
id:2056,2056,KA,Dragonair,DRAGON,Y,True,True,False,True,1472.35805926335,1243.83487367454,2407.48357396902,92,0,0,1,16,16,16
id:3026,3026,LS,Jet2.com,United Kingdom,Y,True,True,True,True,2157.04030920064,1927.32159898778,3139.8682006104,302,0,0,1,16,16,16
id:1925,1925,OU,Croatia Airlines,Croatia,Y,True,True,True,True,757.017609954356,704.329739529135,1306.9115398668,102,0,0.215686274509804,0.784313725490196,16,16,16
id:4936,4936,TR,Tiger Airways,Singapore,Y,True,True,False,True,2098.01368967822,2330.49170894839,3216.412392824,74,0,0,1,16,16,16
id:1317,1317,TS,Air Transat,Canada,Y,True,True,True,True,4775.25946600708,5518.10686260834,7167.63499806863,107,0,0.102803738317757,0.897196261682243,16,16,15
id:1683,1683,5J,Cebu Pacific,Philippines,Y,True,True,True,True,1091.6410717603,623.478656902137,2634.79803384692,184,0,0.630434782608696,0.369565217391304,15,15,15
id:576,576,AK,AirAsia,Malaysia,Y,True,True,True,True,1331.56475362265,1255.70367929913,2545.61364817911,180,0,0.4,0.6,15,15,15
id:2421,2421,BE,Flybe,United Kingdom,Y,True,True,True,True,579.411864348051,461.025340232659,1327.49171128693,213,0,0.370892018779343,0.629107981220657,15,15,15
id:2547,2547,ST,Germania,Germany,Y,True,True,False,True,2168.53636535617,2197.98190067378,3377.46536209663,96,0,0.0416666666666667,0.958333333333333,15,15,15
id:5013,5013,TOM,Thomsonfly,United Kingdom,Y,True,True,True,True,3025.8724302945,2878.69053281195,4181.72880034953,139,0,0,1,15,13,15
id:4292,4292,WB,Rwandair Express,Rwanda,Y,True,False,False,False,1697.53339764465,1074.65949801753,4067.24237350036,39,0,0.102564102564103,0.897435897435897,15,15,14
id:1663,1663,BW,Caribbean Airlines,Trinidad and Tobago,Y,True,True,False,True,2043.18455930888,1722.36273407666,4078.8523934282,64,0,0.0625,0.9375,14,14,14
id:2520,2520,GA,Garuda Indonesia,Indonesia,Y,True,True,True,True,1922.54490443074,952.456308785558,5245.98114559739,224,0,0.669642857142857,0.330357142857143,14,14,14
id:220,220,ZB,Air Bourbon,Reunion,Y,True,True,True,True,2330.4950459728,2160.53272930513,3399.18787669278,210,0,0,1,14,14,14
id:1073,1073,9U,Air Moldova,Moldova,Y,True,False,False,False,1531.31016802791,1396.82196487517,2764.77112524956,38,0,0,1,13,13,13
id:412,412,AR,Aerolineas Argentinas,Argentina,Y,True,True,True,True,2317.78441055003,1233.79601429433,6894.65678985883,104,0,0.615384615384615,0.384615384615385,13,13,13
id:1936,1936,CU,Cubana de Aviación,Cuba,Y,True,True,False,True,2450.8800221786,2218.71704612398,7027.34837978894,55,0,0.236363636363636,0.763636363636364,13,13,12
id:17094,17094,DN,Senegal Airlines,Senegal,Y,True,False,False,False,1083.88785200726,710.394108645603,2307.58155879007,32,0,0.125,0.875,13,13,13
id:5133,5133,DT,TAAG Angola Airlines,Angola,Y,True,True,False,True,2227.12916741137,795.576729288254,6200.35466973934,71,0,0.563380281690141,0.436619718309859,13,13,13
id:2835,2835,FI,Icelandair,Iceland,Y,True,True,False,True,2909.85427896948,2241.08045217552,5498.56095785886,53,0,0.0377358490566038,0.962264150943396,13,13,13
id:4750,4750,MI,SilkAir,Singapore,Y,True,True,False,True,1943.38573803646,1931.91214205078,3202.47086183972,91,0,0.032967032967033,0.967032967032967,13,13,13
